Vertices,25%,40%,65%,85%,100%,Media
10,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
50,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
100,0.009000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001800000
300,0.001000000,0.001000000,0.001000000,0.001000000,0.000000000,0.000800000
500,0.001000000,0.002000000,0.003000000,0.002000000,0.001000000,0.001800000
750,0.004000000,0.006000000,0.006000000,0.003000000,0.002000000,0.004200000
1000,0.008000000,0.008000000,0.013000000,0.008000000,0.000000000,0.007400000
1500,0.018000000,0.025000000,0.017000000,0.016000000,0.015000000,0.018200000
2500,0.040000000,0.057000000,0.054000000,0.035000000,0.013000000,0.039800000
