Vertices,25%,40%,65%,85%,100%,Media
10,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
50,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
100,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
300,0.001000000,0.001000000,0.001000000,0.001000000,0.001000000,0.001000000
500,0.002000000,0.003000000,0.002000000,0.001000000,0.000000000,0.001600000
750,0.003000000,0.007000000,0.006000000,0.004000000,0.002000000,0.004400000
1000,0.010000000,0.009000000,0.008000000,0.001000000,0.008000000,0.007200000
1500,0.016000000,0.017000000,0.016000000,0.009000000,0.007000000,0.013000000
2500,0.043000000,0.057000000,0.053000000,0.034000000,0.014000000,0.040200000
