Vertices,25%,40%,65%,85%,100%,Media
10,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
50,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
100,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
300,0.001000000,0.001000000,0.002000000,0.001000000,0.000000000,0.001000000
500,0.002000000,0.002000000,0.003000000,0.001000000,0.001000000,0.001800000
750,0.011000000,0.000000000,0.009000000,0.000000000,0.000000000,0.004000000
1000,0.005000000,0.009000000,0.009000000,0.006000000,0.003000000,0.006400000
1500,0.015000000,0.020000000,0.019000000,0.012000000,0.000000000,0.013200000
2500,0.041000000,0.056000000,0.054000000,0.033000000,0.018000000,0.040400000
